,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
104,0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False
105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True
107,1,3,male,,0,0,7.775,S,Third,man,True,,Southampton,yes,True
108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
109,1,3,female,,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False
110,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True
111,0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False
112,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
113,0,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True
115,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
116,0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
117,0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False
118,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False
119,0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False
120,0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False
121,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True
124,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False
125,1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False
126,0,3,male,,0,0,7.75,Q,Third,man,T,,,,
